"CELL30M","ISO3","X","Y"
"34169","ISL","-15.25","66.25"
"34242","SWE","21.25","66.25"
"34247","SWE","23.75","66.25"
"34248","FIN","24.25","66.25"
"34249","FIN","24.75","66.25"
"34250","FIN","25.25","66.25"
"34875","ISL","-22.25","65.75"
"34876","ISL","-21.75","65.75"
"34878","ISL","-20.75","65.75"
"34880","ISL","-19.75","65.75"
"34881","ISL","-19.25","65.75"
"34885","ISL","-17.25","65.75"
"34891","ISL","-14.25","65.75"
"34961","SWE","20.75","65.75"
"34962","SWE","21.25","65.75"
"34963","SWE","21.75","65.75"
"34964","SWE","22.25","65.75"
"34965","SWE","22.75","65.75"
"34966","SWE","23.25","65.75"
"34967","SWE","23.75","65.75"
"34968","FIN","24.25","65.75"
"34969","FIN","24.75","65.75"
"34971","FIN","25.75","65.75"
"34972","FIN","26.25","65.75"
"35009","RUS","44.75","65.75"
"35592","ISL","-23.75","65.25"
"35595","ISL","-22.25","65.25"
"35596","ISL","-21.75","65.25"
"35597","ISL","-21.25","65.25"
"35601","ISL","-19.25","65.25"
"35664","NOR","12.25","65.25"
"35681","SWE","20.75","65.25"
"35682","SWE","21.25","65.25"
"35683","SWE","21.75","65.25"
"35689","FIN","24.75","65.25"
"35690","FIN","25.25","65.25"
"35691","FIN","25.75","65.25"
"35692","FIN","26.25","65.25"
"35698","FIN","29.25","65.25"
"35700","RUS","30.25","65.25"
"36257","GRL","-51.25","64.75"
"36258","GRL","-50.75","64.75"
"36312","ISL","-23.75","64.75"
"36313","ISL","-23.25","64.75"
"36314","ISL","-22.75","64.75"
"36315","ISL","-22.25","64.75"
"36316","ISL","-21.75","64.75"
"36317","ISL","-21.25","64.75"
"36331","ISL","-14.25","64.75"
"36399","SWE","19.75","64.75"
"36400","SWE","20.25","64.75"
"36401","SWE","20.75","64.75"
"36402","SWE","21.25","64.75"
"36409","FIN","24.75","64.75"
"36410","FIN","25.25","64.75"
"36411","FIN","25.75","64.75"
"36412","FIN","26.25","64.75"
"36413","FIN","26.75","64.75"
"36436","RUS","38.25","64.75"
"36438","RUS","39.25","64.75"
"36439","RUS","39.75","64.75"
"36440","RUS","40.25","64.75"
"36441","RUS","40.75","64.75"
"36442","RUS","41.25","64.75"
"36444","RUS","42.25","64.75"
"36446","RUS","43.25","64.75"
"36448","RUS","44.25","64.75"
"36779","USA","-150.25","64.25"
"36789","USA","-145.25","64.25"
"36976","GRL","-51.75","64.25"
"36977","GRL","-51.25","64.25"
"36978","GRL","-50.75","64.25"
"36979","GRL","-50.25","64.25"
"36980","GRL","-49.75","64.25"
"37036","ISL","-21.75","64.25"
"37038","ISL","-20.75","64.25"
"37039","ISL","-20.25","64.25"
"37048","ISL","-15.75","64.25"
"37049","ISL","-15.25","64.25"
"37050","ISL","-14.75","64.25"
"37103","NOR","11.75","64.25"
"37104","NOR","12.25","64.25"
"37110","SWE","15.25","64.25"
"37111","SWE","15.75","64.25"
