"CELL30M","X","Y","RASTERVALU","GT90PCT","ISO3"
"37491","-154.25","63.75","812","1","USA"
"38211","-154.25","63.25","812","1","USA"
"39284","22.25","62.75","1072","1","FIN"
"39285","22.75","62.75","1072","1","FIN"
"39286","23.25","62.75","848","1","FIN"
"39987","13.75","62.25","1254","1","SWE"
"39988","14.25","62.25","1989","1","SWE"
"39989","14.75","62.25","1607","1","SWE"
"39990","15.25","62.25","1607","1","SWE"
"39991","15.75","62.25","860","1","SWE"
"39994","17.25","62.25","963","1","SWE"
"40033","36.75","62.25","841","1","RUS"
"40034","37.25","62.25","962","1","RUS"
"40035","37.75","62.25","962","1","RUS"
"40044","42.25","62.25","832","1","RUS"
"40707","13.75","61.75","1417","1","SWE"
"40708","14.25","61.75","1216","1","SWE"
"40709","14.75","61.75","816","1","SWE"
"40710","15.25","61.75","816","1","SWE"
"40758","39.25","61.75","912","1","RUS"
"40765","42.75","61.75","1069","1","RUS"
"40767","43.75","61.75","1136","1","RUS"
"40768","44.25","61.75","961","1","RUS"
"40769","44.75","61.75","854","1","RUS"
"40770","45.25","61.75","854","1","RUS"
"40771","45.75","61.75","1046","1","RUS"
"40772","46.25","61.75","850","1","RUS"
"41100","-149.75","61.25","799","1","USA"
"41410","5.25","61.25","856","1","NOR"
"41426","13.25","61.25","862","1","SWE"
"41429","14.75","61.25","937","1","SWE"
"41430","15.25","61.25","937","1","SWE"
"41446","23.25","61.25","972","1","FIN"
"41448","24.25","61.25","723","1","FIN"
"41474","37.25","61.25","800","1","RUS"
"41475","37.75","61.25","800","1","RUS"
"41493","46.75","61.25","1246","1","RUS"
"41495","47.75","61.25","723","1","RUS"
"41817","-151.25","60.75","934","1","USA"
"41818","-150.75","60.75","1678","1","USA"
"42141","10.75","60.75","842","1","NOR"
"42142","11.25","60.75","715","1","NOR"
"42164","22.25","60.75","955","1","FIN"
"42165","22.75","60.75","955","1","FIN"
"42166","23.25","60.75","1942","1","FIN"
"42167","23.75","60.75","1000","1","FIN"
"42170","25.25","60.75","753","1","FIN"
"42171","25.75","60.75","769","1","FIN"
"42172","26.25","60.75","958","1","FIN"
"42186","33.25","60.75","1380","1","RUS"
"42193","36.75","60.75","1015","1","RUS"
"42198","39.25","60.75","766","1","RUS"
"42537","-151.25","60.25","754","1","USA"
"42862","11.25","60.25","923","1","NOR"
"42875","17.75","60.25","770","1","SWE"
"42886","23.25","60.25","757","1","FIN"
"42901","30.75","60.25","1454","1","RUS"
"42905","32.75","60.25","1057","1","RUS"
"42906","33.25","60.25","1203","1","RUS"
"42909","34.75","60.25","1070","1","RUS"
"42910","35.25","60.25","1734","1","RUS"
"42911","35.75","60.25","963","1","RUS"
"42912","36.25","60.25","1046","1","RUS"
"42918","39.25","60.25","1655","1","RUS"
"42946","53.25","60.25","735","1","RUS"
"42966","63.25","60.25","1708","1","RUS"
"42967","63.75","60.25","1460","1","RUS"
"42968","64.25","60.25","1050","1","RUS"
"43579","9.75","59.75","1037","1","NOR"
"43580","10.25","59.75","778","1","NOR"
"43581","10.75","59.75","1243","1","NOR"
"43582","11.25","59.75","1165","1","NOR"
"43592","16.25","59.75","782","1","SWE"
"43593","16.75","59.75","1391","1","SWE"
"43594","17.25","59.75","1686","1","SWE"
"43595","17.75","59.75","1649","1","SWE"
"43596","18.25","59.75","787","1","SWE"
"43617","28.75","59.75","851","1","RUS"
"43618","29.25","59.75","1571","1","RUS"
"43619","29.75","59.75","1892","1","RUS"
"43620","30.25","59.75","1892","1","RUS"
"43621","30.75","59.75","1998","1","RUS"
"43622","31.25","59.75","755","1","RUS"
"43623","31.75","59.75","998","1","RUS"
"43624","32.25","59.75","1154","1","RUS"
"43625","32.75","59.75","1424","1","RUS"
"43626","33.25","59.75","1470","1","RUS"
"43629","34.75","59.75","1477","1","RUS"
"43630","35.25","59.75","1997","1","RUS"
"43631","35.75","59.75","949","1","RUS"
"43632","36.25","59.75","1284","1","RUS"
"43633","36.75","59.75","855","1","RUS"
"43636","38.25","59.75","1371","1","RUS"
"43637","38.75","59.75","1468","1","RUS"
"43638","39.25","59.75","1624","1","RUS"
"43639","39.75","59.75","1476","1","RUS"
"43640","40.25","59.75","1195","1","RUS"
"43642","41.25","59.75","711","1","RUS"
"43644","42.25","59.75","778","1","RUS"
"43651","45.75","59.75","740","1","RUS"
"43664","52.25","59.75","712","1","RUS"
"43665","52.75","59.75","712","1","RUS"
"43677","58.75","59.75","1090","1","RUS"
"43684","62.25","59.75","1267","1","RUS"
"43685","62.75","59.75","1546","1","RUS"
"43686","63.25","59.75","1355","1","RUS"
"43687","63.75","59.75","833","1","RUS"
"43688","64.25","59.75","826","1","RUS"
"44309","14.75","59.25","1418","1","SWE"
"44310","15.25","59.25","1418","1","SWE"
"44311","15.75","59.25","1251","1","SWE"
"44312","16.25","59.25","960","1","SWE"
"44313","16.75","59.25","1003","1","SWE"
"44314","17.25","59.25","774","1","SWE"
"44315","17.75","59.25","1117","1","SWE"
"44328","24.25","59.25","1097","1","EST"
"44329","24.75","59.25","2391","1","EST"
"44330","25.25","59.25","1708","1","EST"
"44331","25.75","59.25","1656","1","EST"
"44332","26.25","59.25","2516","1","EST"
"44333","26.75","59.25","969","1","EST"
"44334","27.25","59.25","922","1","EST"
"44335","27.75","59.25","732","1","EST"
"44336","28.25","59.25","973","1","RUS"
"44337","28.75","59.25","870","1","RUS"
"44339","29.75","59.25","1352","1","RUS"
"44340","30.25","59.25","1352","1","RUS"
"44342","31.25","59.25","750","1","RUS"
"44345","32.75","59.25","964","1","RUS"
"44348","34.25","59.25","1350","1","RUS"
"44349","34.75","59.25","987","1","RUS"
"44350","35.25","59.25","1509","1","RUS"
"44351","35.75","59.25","1541","1","RUS"
"44352","36.25","59.25","2036","1","RUS"
"44353","36.75","59.25","2414","1","RUS"
"44354","37.25","59.25","1679","1","RUS"
"44355","37.75","59.25","1679","1","RUS"
"44356","38.25","59.25","2397","1","RUS"
"44357","38.75","59.25","2197","1","RUS"
"44358","39.25","59.25","1005","1","RUS"
"44359","39.75","59.25","2449","1","RUS"
"44360","40.25","59.25","1821","1","RUS"
"44361","40.75","59.25","1049","1","RUS"
"44373","46.75","59.25","1032","1","RUS"
"44378","49.25","59.25","719","1","RUS"
"44381","50.75","59.25","1137","1","RUS"
"44388","54.25","59.25","1292","1","RUS"
"44389","54.75","59.25","1866","1","RUS"
"44390","55.25","59.25","958","1","RUS"
"44404","62.25","59.25","1154","1","RUS"
"44408","64.25","59.25","778","1","RUS"
"44687","-156.25","58.75","1401","1","USA"
"45011","5.75","58.75","1016","1","NOR"
"45016","8.25","58.75","798","1","NOR"
"45024","12.25","58.75","874","1","SWE"
"45025","12.75","58.75","852","1","SWE"
"45026","13.25","58.75","1371","1","SWE"
"45027","13.75","58.75","1340","1","SWE"
"45029","14.75","58.75","1448","1","SWE"
"45030","15.25","58.75","1448","1","SWE"
"45031","15.75","58.75","1250","1","SWE"
"45032","16.25","58.75","881","1","SWE"
"45033","16.75","58.75","1196","1","SWE"
"45048","24.25","58.75","1717","1","EST"
"45049","24.75","58.75","1779","1","EST"
"45050","25.25","58.75","1367","1","EST"
"45051","25.75","58.75","2243","1","EST"
"45052","26.25","58.75","1897","1","EST"
"45053","26.75","58.75","2271","1","EST"
"45055","27.75","58.75","758","1","RUS"
"45058","29.25","58.75","1222","1","RUS"
"45059","29.75","58.75","1507","1","RUS"
"45060","30.25","58.75","1507","1","RUS"
"45061","30.75","58.75","782","1","RUS"
"45062","31.25","58.75","800","1","RUS"
"45063","31.75","58.75","741","1","RUS"
"45067","33.75","58.75","730","1","RUS"
"45068","34.25","58.75","909","1","RUS"
"45069","34.75","58.75","1752","1","RUS"
"45070","35.25","58.75","1850","1","RUS"
"45071","35.75","58.75","1660","1","RUS"
"45072","36.25","58.75","2073","1","RUS"
"45073","36.75","58.75","1700","1","RUS"
"45074","37.25","58.75","1230","1","RUS"
"45075","37.75","58.75","1230","1","RUS"
"45078","39.25","58.75","1272","1","RUS"
"45079","39.75","58.75","1539","1","RUS"
